"id","media_type","timestamp","like_count","comments_count","hashtag"
"22915435894288827_9698230649","image",2025-08-15 15:00:00,449,10,"#AppleEvent2025"
"29191953052727066_6956945746","carousel",2025-09-21 09:00:00,371,9,"#AppleEvent2025"
"72960122594310041_1245922070","reel",2025-10-04 15:00:00,444,17,"#AppleEvent2025"
"05721201179386725_5701477640","carousel",2025-07-26 11:00:00,0,5,"#AppleEvent2025"
"53220646887044715_1396570748","carousel",2025-09-02 04:00:00,836,21,"#AppleEvent2025"
"27511562278821641_9212565303","reel",2025-09-24 18:00:00,129,4,"#AppleEvent2025"
"40744409663510108_2355882897","reel",2025-10-02 13:00:00,854,26,"#AppleEvent2025"
"56193423213109339_5413514284","reel",2025-08-31 21:00:00,200,6,"#AppleEvent2025"
"42250241794274233_0368545206","image",2025-10-01 11:00:00,947,31,"#AppleEvent2025"
"94880815184873247_2021411955","reel",2025-09-04 04:00:00,513,12,"#AppleEvent2025"
"12529712489908230_0596691438","image",2025-09-27 18:00:00,180,6,"#AppleEvent2025"
"51991017751497164_3891309299","carousel",2025-09-05 03:00:00,166,2,"#AppleEvent2025"
"91916107518355868_7638581881","image",2025-09-28 02:00:00,174,6,"#AppleEvent2025"
"42008235882709065_6479009723","image",2025-10-01 23:00:00,111,7,"#AppleEvent2025"
"87111671511578808_1195120115","image",2025-09-04 11:00:00,410,6,"#AppleEvent2025"
"83409724434184007_4021725437","reel",2025-08-27 01:00:00,194,2,"#AppleEvent2025"
"48221077679086515_1315521738","image",2025-09-17 20:00:00,174,7,"#AppleEvent2025"
"25821501026111788_4532927268","image",2025-09-27 03:00:00,438,10,"#AppleEvent2025"
"11254664147489389_8152506201","image",2025-07-28 11:00:00,13,0,"#AppleEvent2025"
"14001251998060076_7322679668","reel",2025-10-09 06:00:00,173,10,"#AppleEvent2025"
"23205072200188088_7721115807","carousel",2025-07-22 16:00:00,298,5,"#AppleEvent2025"
"77403637997321680_0288763439","image",2025-07-19 17:00:00,435,14,"#AppleEvent2025"
"10566713335579259_4147551479","image",2025-08-26 12:00:00,641,16,"#AppleEvent2025"
"84081137723019174_4050228481","image",2025-08-24 02:00:00,169,9,"#AppleEvent2025"
"35929084014702934_7053793739","image",2025-07-26 10:00:00,93,2,"#AppleEvent2025"
