id,media_type,timestamp,like_count,comments_count,hashtag
90909464983510483_2801390448,reel,12/6/2024 18:00,271,8,#GalaxyS25  
48959952326216286_8315986402,carousel,1/8/2025 11:00,261,5,#GalaxyS25  
14028152281059799_3533876901,image,2/11/2025 14:00,303,0,#GalaxyS25  
63829618535117748_6267940657,carousel,11/29/2024 19:00,843,24,#GalaxyS25  
19796650304991672_1528685784,reel,12/1/2024 1:00,0,6,#GalaxyS25  
06759066207900113_9948266114,image,1/24/2025 6:00,162,2,#GalaxyS25  
77048058997766098_7275032461,carousel,12/8/2024 14:00,133,2,#GalaxyS25  
64066228086507498_4205378876,image,2/15/2025 11:00,88,3,#GalaxyS25  
37400423219294704_2510607219,reel,2/11/2025 13:00,89,0,#GalaxyS25  
24701364937046590_9619421512,image,12/20/2024 8:00,387,8,#GalaxyS25  
91527057037205240_5407844733,image,12/31/2024 1:00,112,3,#GalaxyS25  
34359307449201239_3390804306,carousel,2/8/2025 22:00,222,11,#GalaxyS25  
76207768070514929_3758400198,reel,1/23/2025 5:00,283,8,#GalaxyS25  
59620194460091140_2982108218,carousel,12/14/2024 13:00,442,14,#GalaxyS25  
25627085822588246_1574294336,image,2/21/2025 3:00,304,10,#GalaxyS25  
71112188649510119_4721788614,carousel,2/1/2025 3:00,96,3,#GalaxyS25  
82984715759530785_5187292856,reel,12/18/2024 17:00,49,0,#GalaxyS25  
96484396222645135_5943265186,carousel,2/18/2025 14:00,58,1,#GalaxyS25  
77548849091265510_2819778330,image,12/19/2024 6:00,270,0,#GalaxyS25  
16784459094540947_7062936665,reel,1/26/2025 7:00,78,1,#GalaxyS25  
64954498043608569_6683928603,reel,2/5/2025 12:00,118,5,#GalaxyS25  
95296797313561401_6969749267,image,12/13/2024 10:00,196,11,#GalaxyS25  
04252983923556173_0751998821,carousel,2/4/2025 15:00,164,3,#GalaxyS25  
99057716779743987_5739240152,reel,12/7/2024 23:00,77,2,#GalaxyS25  
67667258171079938_4283085953,image,12/6/2024 20:00,0,13,#GalaxyS25  
02662913407982479_2001978290,image,12/17/2024 21:00,344,11,#GalaxyS25  
04353836447216312_2443115256,carousel,12/23/2024 18:00,217,8,#GalaxyS25  
57789192762121810_2392543736,reel,1/2/2025 18:00,61,2,#GalaxyS25  
01724382038054168_6339908375,carousel,2/19/2025 12:00,94,1,#GalaxyS25  
06025717130537699_1413705725,carousel,12/26/2024 13:00,95,4,#GalaxyS25  
30104780099183803_8108652673,reel,12/31/2024 8:00,121,5,#GalaxyS25  
74290031487419311_3813196396,reel,11/29/2024 20:00,173,8,#GalaxyS25  
33061567320737204_6941937313,reel,1/18/2025 12:00,75,1,#GalaxyS25  
06546161304671021_0929013619,image,12/11/2024 18:00,77,3,#GalaxyS25  
00727609675658943_5469280190,carousel,1/25/2025 5:00,108,3,#GalaxyS25  
93158365758258729_1316558982,image,1/9/2025 15:00,306,8,#GalaxyS25  
17446103931456666_6259500340,image,1/10/2025,199,6,#GalaxyS25  
02180818931936382_5625650824,reel,1/27/2025 19:00,50,2,#GalaxyS25  
95422173998642453_2687517311,carousel,2/4/2025 3:00,574,17,#GalaxyS25  
52921541674940862_9003895114,carousel,12/19/2024 10:00,512,13,#GalaxyS25  
42561372035102730_0447576654,image,2/3/2025 20:00,304,13,#GalaxyS25  
39842468758227119_2851211507,reel,12/8/2024 19:00,380,3,#GalaxyS25  
57183389493312347_2012622693,carousel,2/21/2025 2:00,429,17,#GalaxyS25  
67315052284324262_2035496179,reel,1/30/2025,172,7,#GalaxyS25  
59170974379151907_3261070461,image,12/13/2024 18:00,462,11,#GalaxyS25  
03917345434669991_1914055976,image,12/1/2024 12:00,46,1,#GalaxyS25  
36195047500437432_0286151086,image,1/31/2025 15:00,53,1,#GalaxyS25  
86532770080975867_1857687314,image,11/24/2024 19:00,716,21,#GalaxyS25  
62644335917954547_0977606976,reel,1/20/2025 3:00,62,2,#GalaxyS25  
91206494684187990_9365330540,image,2/3/2025 21:00,153,4,#GalaxyS25  
40458790643256554_3718616957,carousel,1/17/2025 13:00,62,4,#GalaxyS25  
58884567841781779_4906364560,image,11/28/2024,468,16,#GalaxyS25  
66526628792228131_0179651575,image,1/5/2025 22:00,910,32,#GalaxyS25  
11208744273323848_0109390942,image,1/23/2025 13:00,60,2,#GalaxyS25  
16258960611477959_9441834507,carousel,12/9/2024 6:00,246,7,#GalaxyS25  
03634182351086606_6989658447,carousel,11/30/2024 22:00,589,17,#GalaxyS25  
24016072580246196_5033313728,image,2/7/2025 18:00,13,0,#GalaxyS25  
01226130167055825_1426665894,carousel,12/9/2024 11:00,62,4,#GalaxyS25  
96148382088989041_3251171361,carousel,12/22/2024,208,9,#GalaxyS25  
41002269730073829_1984749122,image,12/26/2024 6:00,380,14,#GalaxyS25  
74115166648522247_6384843058,carousel,12/16/2024 3:00,188,5,#GalaxyS25  
07795140270873341_1602712403,reel,12/30/2024 7:00,1582,46,#GalaxyS25  
45029015941452922_2046070068,reel,12/20/2024 15:00,440,16,#GalaxyS25  
79131877602725663_3304702414,image,2/5/2025 10:00,321,6,#GalaxyS25  
01602309487294321_1171424652,image,12/16/2024 7:00,334,8,#GalaxyS25  
19510795562447441_1568803678,image,2/10/2025 5:00,275,7,#GalaxyS25  
00680470185880917_2405025738,image,1/24/2025 15:00,109,4,#GalaxyS25  
65628798901944914_7435481109,image,11/25/2024 13:00,191,4,#GalaxyS25  
11095098279448847_7641572558,image,1/8/2025 16:00,303,10,#GalaxyS25  
00991273877660935_6256720403,carousel,11/28/2024 11:00,249,6,#GalaxyS25  
11180539464394925_5706000157,carousel,12/3/2024 8:00,1334,45,#GalaxyS25  
46521352085842420_6187936836,reel,1/17/2025 10:00,350,8,#GalaxyS25  
58390658603480193_7215051846,image,12/4/2024 1:00,583,25,#GalaxyS25  
03173237323150094_8124507520,image,12/2/2024 8:00,311,14,#GalaxyS25  
