id,media_type,timestamp,like_count,comments_count,hashtag
05101345283588627_8262659447,reel,3/21/2025 9:00,154,8,#GalaxyS25Edge 
32865986127363073_8753723350,reel,4/9/2025 10:00,418,11,#GalaxyS25Edge 
93867415879346077_9871486699,carousel,5/3/2025 14:00,49,6,#GalaxyS25Edge 
75690829458396869_3788846509,image,4/13/2025 13:00,183,6,#GalaxyS25Edge 
37997610384714159_9865276372,image,3/20/2025 19:00,78,2,#GalaxyS25Edge 
75369739852388335_4076452794,carousel,5/8/2025 16:00,68,2,#GalaxyS25Edge 
98869373260599064_5958705179,reel,4/25/2025 19:00,65,0,#GalaxyS25Edge 
78788302710866363_8398768206,image,5/25/2025 7:00,253,0,#GalaxyS25Edge 
26925639074244580_3241033994,reel,4/17/2025 19:00,56,4,#GalaxyS25Edge 
68178736715095498_1221977156,image,4/11/2025 7:00,927,21,#GalaxyS25Edge 
61112780670828137_3152626666,image,5/17/2025 3:00,114,1,#GalaxyS25Edge 
26347675760595938_8934822160,reel,4/15/2025 16:00,149,1,#GalaxyS25Edge 
26184098861765691_1469865322,image,5/9/2025 23:00,336,12,#GalaxyS25Edge 
91200032161169337_8282541504,image,4/22/2025 10:00,273,8,#GalaxyS25Edge 
67068295384884555_7376647069,carousel,4/21/2025 14:00,179,3,#GalaxyS25Edge 
83072852235165636_9384882088,carousel,3/20/2025 9:00,830,20,#GalaxyS25Edge 
61723221335528447_4426010701,carousel,4/22/2025 10:00,80,1,#GalaxyS25Edge 
84858280251094055_7050554989,carousel,5/9/2025 14:00,56,2,#GalaxyS25Edge 
99557310166349098_6464176978,carousel,6/2/2025 14:00,424,16,#GalaxyS25Edge 
01426746257959795_2605416223,carousel,4/11/2025 12:00,208,6,#GalaxyS25Edge 
05416904472037137_7456863177,carousel,4/27/2025 7:00,103,1,#GalaxyS25Edge 
92147007172361302_6726118960,image,4/12/2025 17:00,77,1,#GalaxyS25Edge 
18805586827959883_8840124706,carousel,6/2/2025 1:00,859,28,#GalaxyS25Edge 
59563558249485027_1290624780,image,6/2/2025 17:00,38,2,#GalaxyS25Edge 
40897486984976288_4133770418,reel,3/28/2025 15:00,182,5,#GalaxyS25Edge 
09046505396161807_1776317859,image,4/7/2025 8:00,111,3,#GalaxyS25Edge 
89111444396271943_5641806720,image,4/30/2025 7:00,409,15,#GalaxyS25Edge 
04072379264041863_3293032696,image,5/12/2025 7:00,92,3,#GalaxyS25Edge 
09884464750513542_0939397579,carousel,4/30/2025 1:00,237,9,#GalaxyS25Edge 
95277539159960744_0004351822,image,6/7/2025 8:00,114,3,#GalaxyS25Edge 
56379415852721576_3097991351,carousel,4/29/2025 4:00,680,18,#GalaxyS25Edge 
58270116454433780_9397176148,reel,4/10/2025 6:00,256,6,#GalaxyS25Edge 
17909574881755417_3338793017,reel,6/11/2025 13:00,321,8,#GalaxyS25Edge 
32417877213505931_3553449936,reel,5/25/2025 15:00,181,6,#GalaxyS25Edge 
66664878252115495_0768631900,image,5/20/2025 11:00,455,8,#GalaxyS25Edge 
87989119491353393_7411300718,carousel,5/6/2025 23:00,386,0,#GalaxyS25Edge 
51564053133095801_6561459765,reel,6/5/2025 6:00,46,1,#GalaxyS25Edge 
00834287054898403_3194245096,image,4/27/2025 1:00,247,9,#GalaxyS25Edge 
18319627242564772_9033384640,image,3/15/2025 2:00,36,1,#GalaxyS25Edge 
09604216218988739_2369304230,reel,5/17/2025 17:00,335,9,#GalaxyS25Edge 
11590776979291065_3608863619,carousel,6/6/2025 10:00,75,4,#GalaxyS25Edge 
53837693033201138_0039230613,image,3/16/2025 16:00,384,3,#GalaxyS25Edge 
01270283372341936_5386727661,carousel,4/8/2025 13:00,190,9,#GalaxyS25Edge 
99226736400301381_9245905840,reel,3/19/2025 19:00,488,14,#GalaxyS25Edge 
70139125518414124_3052005298,image,4/15/2025 6:00,267,5,#GalaxyS25Edge 
16199714482940494_4719576847,carousel,3/19/2025 12:00,150,3,#GalaxyS25Edge 
90190222951978126_7448735679,image,5/26/2025 16:00,2167,58,#GalaxyS25Edge 
23266665743381162_0838010822,reel,3/23/2025,215,9,#GalaxyS25Edge 
09481879935678861_5047730801,image,4/27/2025 18:00,168,4,#GalaxyS25Edge 
13904771660030412_3003535833,reel,5/15/2025 21:00,1008,54,#GalaxyS25Edge 
57924874560098792_1265160975,carousel,5/27/2025 6:00,52,0,#GalaxyS25Edge 
86180129613982768_5165215046,reel,3/27/2025 23:00,120,1,#GalaxyS25Edge 
83907580729490049_9683230678,image,5/8/2025 21:00,291,7,#GalaxyS25Edge 
23107364497584838_6320635484,carousel,5/12/2025 7:00,229,9,#GalaxyS25Edge 
02763536007133120_0021624713,image,4/12/2025 2:00,65,1,#GalaxyS25Edge 
71170604103031875_4778397485,image,6/11/2025 6:00,608,16,#GalaxyS25Edge 
95940119039661400_9644213756,carousel,6/5/2025 6:00,204,7,#GalaxyS25Edge 
58221528560097762_2500992846,image,4/1/2025,73,2,#GalaxyS25Edge 
16833766797863906_0416664602,image,5/22/2025 19:00,129,3,#GalaxyS25Edge 
28304026183143427_9664661650,reel,3/27/2025 5:00,116,3,#GalaxyS25Edge 
76735427877530222_1739117949,image,4/16/2025 12:00,84,2,#GalaxyS25Edge 
