symbol,sector,industry
BRK-A,Financial Services,Insurance - Diversified
NVR,Consumer Cyclical,Residential Construction
SEB,Industrials,Conglomerates
BKNG,Consumer Cyclical,Travel Services
AZO,Consumer Cyclical,Auto Parts
WTM,Financial Services,Insurance - Property & Casualty
MKL,Financial Services,Insurance - Property & Casualty
FCNCA,Financial Services,Banks - Regional
BH-A,Consumer Cyclical,Restaurants
MELI,Consumer Cyclical,Internet Retail
KLAC,Technology,Semiconductor Equipment & Materials
FIX,Industrials,Engineering & Construction
ASML,Technology,Semiconductor Equipment & Materials
MTD,Healthcare,Diagnostics & Research
BAC-PL,Financial Services,Banks - Diversified
TDG,Industrials,Aerospace & Defense
WFC-PL,Financial Services,Banks - Diversified
MPWR,Technology,Semiconductors
GWW,Industrials,Industrial Distribution
GHC,Consumer Defensive,Education & Training Services
FICO,Technology,Software - Application
BLK,Financial Services,Asset Management
EQIX,Real Estate,REIT - Specialty
COST,Consumer Defensive,Discount Stores
LLY,Healthcare,Drug Manufacturers - General
GEV,Industrials,Specialty Industrial Machinery
PH,Industrials,Specialty Industrial Machinery
ESLT,Industrials,Aerospace & Defense
MCK,Healthcare,Medical Distribution
GS,Financial Services,Capital Markets
UI,Technology,Communication Equipment
LITE,Technology,Communication Equipment
USB-PA,,
EME,Industrials,Engineering & Construction
URI,Industrials,Rental & Leasing Services
REGN,Healthcare,Biotechnology
CAT,Industrials,Farm & Heavy Construction Machinery
SNDK,Technology,Computer Hardware
CASY,Consumer Cyclical,Specialty Retail
CW,Industrials,Aerospace & Defense
NOC,Industrials,Aerospace & Defense
ARGX,Healthcare,Biotechnology
TDY,Technology,Scientific & Technical Instruments
NEU,Basic Materials,Specialty Chemicals
LMT,Industrials,Aerospace & Defense
META,Communication Services,Internet Content & Information
PWR,Industrials,Engineering & Construction
MLM,Basic Materials,Building Materials
CACI,Technology,Information Technology Services
IDXX,Healthcare,Diagnostics & Research
DE,Industrials,Farm & Heavy Construction Machinery
DDS,Consumer Cyclical,Department Stores
POWL,Industrials,Electrical Equipment & Parts
RBC,Industrials,Tools & Accessories
CMI,Industrials,Specialty Industrial Machinery
FN,Technology,Electronic Components
MSCI,Financial Services,Financial Data & Stock Exchanges
UTHR,Healthcare,Drug Manufacturers - Specialty & Generic
TPL,Energy,Oil & Gas E&P
ULTA,Consumer Cyclical,Specialty Retail
MA,Financial Services,Credit Services
TMO,Healthcare,Diagnostics & Research
HUBB,Industrials,Electrical Equipment & Parts
DJCO,Technology,Software - Application
HCA,Healthcare,Medical Care Facilities
NVMI,Technology,Semiconductor Equipment & Materials
SPOT,Communication Services,Internet Content & Information
LIN,Basic Materials,Specialty Chemicals
BRK-B,Financial Services,Insurance - Diversified
ISRG,Healthcare,Medical Instruments & Supplies
LII,Industrials,Building Products & Equipment
CVCO,Consumer Cyclical,Residential Construction
IESC,Industrials,Engineering & Construction
MEDP,Healthcare,Diagnostics & Research
MUSA,Consumer Cyclical,Specialty Retail
MSI,Technology,Communication Equipment
AXON,Industrials,Aerospace & Defense
VRTX,Healthcare,Biotechnology
AMP,Financial Services,Asset Management
MDGL,Healthcare,Biotechnology
AGX,Industrials,Engineering & Construction
CACC,Financial Services,Credit Services
APP,Communication Services,Advertising Agencies
INTU,Technology,Software - Application
CIEN,Technology,Communication Equipment
SPGI,Financial Services,Financial Data & Stock Exchanges
MCO,Financial Services,Financial Data & Stock Exchanges
TT,Industrials,Building Products & Equipment
STRL,Industrials,Engineering & Construction
SNPS,Technology,Software - Infrastructure
CRWD,Technology,Software - Infrastructure
WINA,Consumer Cyclical,Specialty Retail
MU,Technology,Semiconductors
STX,Technology,Computer Hardware
VMI,Industrials,Conglomerates
HII,Industrials,Aerospace & Defense
WSO,Industrials,Industrial Distribution
TSLA,Consumer Cyclical,Auto Manufacturers
MSFT,Technology,Software - Infrastructure
ETN,Industrials,Specialty Industrial Machinery
AMAT,Technology,Semiconductor Equipment & Materials
CHE,Healthcare,Medical Care Facilities
