id,hashtag,timestamp,like_count,comments_count,engagement,hour,time_of_day,day_of_week,cluster
22915435894288827_9698230649,#AppleEvent2025,2025-08-15 15:00:00,449,10,459,15,afternoon,Friday,1
29191953052727066_6956945746,#AppleEvent2025,2025-09-21 09:00:00,371,9,380,9,morning,Sunday,0
72960122594310041_1245922070,#AppleEvent2025,2025-10-04 15:00:00,444,17,461,15,afternoon,Saturday,1
05721201179386725_5701477640,#AppleEvent2025,2025-07-26 11:00:00,0,5,5,11,morning,Saturday,0
53220646887044715_1396570748,#AppleEvent2025,2025-09-02 04:00:00,836,21,857,4,night,Tuesday,1
27511562278821641_9212565303,#AppleEvent2025,2025-09-24 18:00:00,129,4,133,18,evening,Wednesday,0
40744409663510108_2355882897,#AppleEvent2025,2025-10-02 13:00:00,854,26,880,13,afternoon,Thursday,1
56193423213109339_5413514284,#AppleEvent2025,2025-08-31 21:00:00,200,6,206,21,evening,Sunday,0
42250241794274233_0368545206,#AppleEvent2025,2025-10-01 11:00:00,947,31,978,11,morning,Wednesday,1
94880815184873247_2021411955,#AppleEvent2025,2025-09-04 04:00:00,513,12,525,4,night,Thursday,1
12529712489908230_0596691438,#AppleEvent2025,2025-09-27 18:00:00,180,6,186,18,evening,Saturday,0
51991017751497164_3891309299,#AppleEvent2025,2025-09-05 03:00:00,166,2,168,3,night,Friday,0
91916107518355868_7638581881,#AppleEvent2025,2025-09-28 02:00:00,174,6,180,2,night,Sunday,0
42008235882709065_6479009723,#AppleEvent2025,2025-10-01 23:00:00,111,7,118,23,evening,Wednesday,0
87111671511578808_1195120115,#AppleEvent2025,2025-09-04 11:00:00,410,6,416,11,morning,Thursday,1
83409724434184007_4021725437,#AppleEvent2025,2025-08-27 01:00:00,194,2,196,1,night,Wednesday,0
48221077679086515_1315521738,#AppleEvent2025,2025-09-17 20:00:00,174,7,181,20,evening,Wednesday,0
25821501026111788_4532927268,#AppleEvent2025,2025-09-27 03:00:00,438,10,448,3,night,Saturday,1
11254664147489389_8152506201,#AppleEvent2025,2025-07-28 11:00:00,13,0,13,11,morning,Monday,0
14001251998060076_7322679668,#AppleEvent2025,2025-10-09 06:00:00,173,10,183,6,morning,Thursday,0
23205072200188088_7721115807,#AppleEvent2025,2025-07-22 16:00:00,298,5,303,16,afternoon,Tuesday,0
77403637997321680_0288763439,#AppleEvent2025,2025-07-19 17:00:00,435,14,449,17,afternoon,Saturday,1
10566713335579259_4147551479,#AppleEvent2025,2025-08-26 12:00:00,641,16,657,12,afternoon,Tuesday,1
84081137723019174_4050228481,#AppleEvent2025,2025-08-24 02:00:00,169,9,178,2,night,Sunday,0
35929084014702934_7053793739,#AppleEvent2025,2025-07-26 10:00:00,93,2,95,10,morning,Saturday,0
72681040959659469_6225813291,#AppleEvent2025,2025-09-08 01:00:00,66,1,67,1,night,Monday,0
99373725050825883_0847874610,#AppleEvent2025,2025-09-29 02:00:00,381,9,390,2,night,Monday,1
70844754905281624_0399810204,#AppleEvent2025,2025-08-12 14:00:00,119,0,119,14,afternoon,Tuesday,0
62300506517093670_7587485672,#AppleEvent2025,2025-09-13 04:00:00,246,8,254,4,night,Saturday,0
33825060971305274_2294864509,#AppleEvent2025,2025-09-20 06:00:00,122,3,125,6,morning,Saturday,0
29236852533149374_3552200670,#AppleEvent2025,2025-09-30 00:00:00,226,11,237,0,night,Tuesday,0
87280267892319059_3186899508,#AppleEvent2025,2025-08-13 14:00:00,75,2,77,14,afternoon,Wednesday,0
69533422738039129_5636269102,#AppleEvent2025,2025-09-13 03:00:00,357,13,370,3,night,Saturday,0
69899920287986900_0638610457,#AppleEvent2025,2025-09-02 16:00:00,339,13,352,16,afternoon,Tuesday,0
04769471405326747_0476467927,#AppleEvent2025,2025-10-04 07:00:00,43,1,44,7,morning,Saturday,0
63362189627756710_3639632151,#AppleEvent2025,2025-09-23 16:00:00,520,14,534,16,afternoon,Tuesday,1
36593625172732927_3766493321,#AppleEvent2025,2025-09-13 01:00:00,64,3,67,1,night,Saturday,0
00842005716268586_5387770940,#AppleEvent2025,2025-10-01 01:00:00,418,14,432,1,night,Wednesday,1
29278573284805070_5492852288,#AppleEvent2025,2025-10-08 11:00:00,464,12,476,11,morning,Wednesday,1
